scholarship_name,deadline,degree,university_name,level,country
Rockford University Regent Awards for International Students in UK,01 Apr 2023,"Medical & Pharmacy,Education,Social Sciences,Tourism & Hospitality",Rockford University,Undergraduate ,
University of East Anglia Value of Medicine International Scholarships in UK,02 Jun 2023,"Medical & Pharmacy,Education,Religion & Ethics,Social Sciences",University of East Anglia,Undergraduate,UK
"Full Computer Science International Scholarship at St. Mary’s University, UK",08 Jun 2023,"Medical & Pharmacy,Religion & Ethics,Social Sciences,Tourism & Hospitality",St Mary’s University,Bachelor,
"Embassy of the State of Kuwait Scholarships at the Robert Gordon University, UK",15 Jun 2023,"Art & Design,Computer Science & IT,Medical & Pharmacy,Social Sciences",Robert Gordon University,"Undergraduate, Postgraduate, PhD",UK
University of Glasgow African Partners Award in UK,28 Apr 2023,"Computer Science & IT,Medical & Pharmacy,Education",University of Glasgow,Postgraduate taught and Masters program,UK
"Delhi Public School Society (DPS) Undergraduate Merit Scholarship at University of Sheffield, UK",24 Apr 2023,"Art & Design,Engineering&Technology,Business & Management",University of Sheffield,Undergraduate,UK
"Sussex GREAT Scholarship – Ghana at University of Sussex, UK",15 May 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Sussex,Postgraduate,UK
"CONACyT Awards for Mexican Students at the Robert Gordon University, UK",05 May 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",Robert Gordon University,"Postgraduate, PhD",UK
Transform Together Scholarship 2023 Application Status ,31 May 2023,"Art & Design,Engineering&Technology,Computer Science & IT,Religion & Ethics",Sheffield Hallam University,Scholarships are available for under graduate and post graduate study programs,UK
Robert Gordon University International Students Emergency Fund in UK,14 Jun 2023,"Computer Science & IT,Medical & Pharmacy,Education",Robert Gordon University,Undergraduate and Postgraduate,UK
"Africa Undergraduate Excellence Award at University of Nottingham, UK",12 Apr 2023,"Business & Management,Computer Science & IT,Medical & Pharmacy,Religion & Ethics",University of Nottingham,Undergraduate,UK
OWSD Ph.D. Fellowships for Women from Developing Countries,16 Mar 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",OWSD ,PHD,UK
"CONACyT Awards for Mexican Students at the Robert Gordon University, UK",06 May 2023,"Art & Design,Computer Science & IT,Medical & Pharmacy,Education",Robert Gordon University,"Postgraduate, PhD",UK
British Council STEM Scholarships for Women 2023 (Fully Funded),22 Mar 2023,"Computer Science & IT,Medical & Pharmacy,Education",British Council,Master,
Robert Gordon University International Students Emergency Fund in UK,14 Jun 2023,"Business & Management,Medical & Pharmacy,Education,Religion & Ethics",Robert Gordon University,Undergraduate and Postgraduate,UK
"Early Confirmation Award for Students from South East Asia at Queens University Belfast, UK",30 Jun 2023,"Engineering&Technology,Education,Religion & Ethics,Social Sciences",Queen’s University Belfast,"Undergraduate, Postgraduate Taught, Postgraduate Research",UK
"EPSRC – School of Computing International Studentships at University of Kent, UK",05 Mar 2023,"Engineering&Technology,Business & Management,Education,Religion & Ethics",University of Kent,PHD,UK
"International Hardship Fund at University of Greenwich, UK",14 Jul 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Greenwich,"Undergraduate, postgraduate, and research program",UK
"Forensic Architecture Open Verification International PhD Fellowship at Goldsmiths, University of London, UK",15 Mar 2023,"Engineering&Technology,Business & Management,Medical & Pharmacy","Goldsmiths, University of London",MPhil and PhD degree,UK
"Middle East and Turkey Postgraduate Excellence Award at University of Nottingham, UK",17 May 2023,"Art & Design,Engineering&Technology,Computer Science & IT",University of Nottingham,Postgraduate,UK
"International Postgraduate Scholarship at the University of Sheffield, UK",16 Jun 2023,"Art & Design,Engineering&Technology,Computer Science & IT,Medical & Pharmacy",University of Sheffield,Postgraduate taught,UK
"Forensic Architecture Open Verification International PhD Fellowship at Goldsmiths, University of London, UK",15 Mar 2023,"Engineering&Technology,Business & Management,Education,Religion & Ethics","Goldsmiths, University of London",MPhil and PhD degree,UK
"International Hardship Fund at University of Greenwich, UK",14 Jul 2023,"Business & Management,Computer Science & IT,Medical & Pharmacy,Education",University of Greenwich,"undergraduate, postgraduate, and research program",UK
"NIHR Global Health Palliative Care (GHAP) African PhD Training Fellowship at King’s College London, UK",20 Feb 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",King’s College London,PHD,UK
"Early Confirmation Award for Students from South East Asia at Queens University Belfast, UK",30 Jun 2023,"Computer Science & IT,Education,Religion & Ethics,Social Sciences",Queen’s University Belfast,"Undergraduate, Postgraduate Taught, Postgraduate Research",UK
University of Dundee JEP MSc Progression International Scholarships in UK,31 Aug 2023,"Art & Design,Engineering&Technology,Business & Management,Medical & Pharmacy",University of Dundee,Postgraduate,UK
"Educational Studies MPhil/PhD Research Bursaries at Goldsmiths, University of London, UK",28 Feb 2023,"Art & Design,Engineering&Technology,Medical & Pharmacy,Education","Goldsmiths, University of London",MPhil and PhD degree,UK
"Early Confirmation Award for Students from South East Asia at Queens University Belfast, UK",30 Jun 2023,"Engineering&Technology,Social Sciences,Tourism & Hospitality",Queen’s University Belfast,"Undergraduate, Postgraduate Taught, Postgraduate Research",UK
"EPSRC – School of Computing International Studentships at University of Kent, UK",05 Mar 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Kent,PHD,UK
"Early Confirmation Award for Students from South East Asia at Queens University Belfast, UK",30 Jun 2023,"Business & Management,Medical & Pharmacy,Religion & Ethics,Social Sciences",Queen’s University Belfast,"Undergraduate, Postgraduate Taught, Postgraduate Research",UK
"Early Confirmation Award for Students from South East Asia at Queens University Belfast, UK",30 Jun 2023,"Business & Management,Computer Science & IT,Education,Social Sciences",Queen’s University Belfast,"Undergraduate, Postgraduate Taught, Postgraduate Research",UK
"Forensic Architecture Open Verification International PhD Fellowship at Goldsmiths, University of London, UK",15 Mar 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Education","Goldsmiths, University of London",MPhil and PhD degree,UK
"NIHR Global Health Palliative Care (GHAP) African PhD Training Fellowship at King’s College London, UK",20 Feb 2023,"Art & Design,Education,Religion & Ethics,Social Sciences",King’s College London,PHD,UK
Commonwealth Split-site (PhD) Scholarships,02 Mar 2023,"Computer Science & IT,Medical & Pharmacy,Education,Social Sciences",COMMONWEALTH  University,PHD,UK
"Royal Holloway International Study CeRoyal Holloway International Study Centre (RHISC) International Excellence Scholarship, UKntre (RHISC) International Excellence Scholarship, UK",28 Apr 2023,"Computer Science & IT,Education,Religion & Ethics,Social Sciences",Royal Holloway University of London,Undergraduate degree,UK
"VISTA Training International Doctoral Scholarship at York University, UK",31 Mar 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",York University,Doctoral,UK
Discover Nursing at Dundee Bursary for International Students in the UK,03 Sep 2023,"Education,Religion & Ethics,Tourism & Hospitality",University of Dundee,Full-time Undergraduate,UK
University of Essex Vice-Chancellor’s Global Talent Scholarships in UK,31 May 2023,"Engineering&Technology,Computer Science & IT,Medical & Pharmacy,Education",University of Essex,Undergraduate or Postgraduate,UK
Aberystwyth University ESRC Wales DTP General Studentships in UK,31 Jan 2023,"Art & Design,Business & Management,Medical & Pharmacy,Education",Aberystwyth University,Master,UK
Newcastle University Sanctuary International Scholarships in UK,07 Apr 2023,"Engineering&Technology,Computer Science & IT,Medical & Pharmacy,Religion & Ethics",Newcastle University," Undergraduate, Postgraduate, or Doctoral",UK
Blue Book European Union Traineeship 2023 (Fully Funded),31 Jan 2023,"Engineering&Technology,Business & Management,Medical & Pharmacy,Education",Blue Book European Union Traineeship,"Undergraduate, Graduate",Europe
"VISTA Training International Doctoral Scholarship at York University, UK",31 Mar 2023,"Business & Management,Computer Science & IT,Education",York University,PHD,UK
"Royal Holloway International Study Centre (RHISC) International Excellence Scholarship, UK",28 Apr 2023,"Business & Management,Computer Science & IT,Education,Social Sciences",Royal Holloway University of London,Undergraduate degree,UK
Newcastle University Sanctuary International Scholarships in UK,07 Apr 2023,"Medical & Pharmacy,Religion & Ethics,Tourism & Hospitality",Newcastle University,"Undergraduate, Postgraduate, or Doctoral",UK
"Aberdeen Global Scholarship for AFG, BGD, BTN, IND, MDV, NPL, PAK, and LKA Students",31 Jan 2023,"Education,Religion & Ethics,Social Sciences,Tourism & Hospitality",University of Aberdeen,Masters,UK
University of Essex Vice-Chancellor’s Global Talent Scholarships in UK,31 May 2023,"Business & Management,Religion & Ethics,Social Sciences,Tourism & Hospitality",University of Essex,Undergraduate or Postgraduate,UK
Economic and Social Research Council (ESRC) SeNSS Scholarships in UK,20 Jan 2023,"Art & Design,Business & Management,Medical & Pharmacy",University of Kent,PHD,UK
"Eni Scholarship – DPhil International Development at University of Oxford, UK",01 Mar 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Oxford,DPHIL,UK
GSK Scholarship 2023 in the United Kingdom,01 Mar 2023,"Engineering&Technology,Medical & Pharmacy,Education",GSK,Bachelors,UK
Lieutenant Colonel Henry Kirkpatrick International Scholarship in UK,16 Apr 2023,"Engineering&Technology,Computer Science & IT,Medical & Pharmacy,Education",London School of Hygiene and Tropical Medicine,Masters,UK
University of Plymouth CDT SuMMeR Program for International Students in UK,17 Jan 2023,"Art & Design,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Plymouth,PHD,UK
"Eni Scholarship – DPhil International Development at University of Oxford, UK",01 Mar 2023,"Engineering&Technology,Business & Management,Computer Science & IT",University of Oxford,DPhil,UK
"Portsmouth School of the Environment, Geography and Geosciences (SEGG) International Scholarship",29 Jun 2023,"Engineering&Technology,Computer Science & IT,Education",University of Portsmouth,PHD,UK
"Royal Holloway International Study Centre (RHISC) International Excellence Scholarship, UK",28 Apr 2023,"Computer Science & IT,Education,Social Sciences",Royal Holloway University of London,Undergraduate degree,UK
"AHRC M4C Open Doctoral Award for International Students at University of Warwick, UK",11 Jan 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Warwick,Postgraduate research,UK
University of Cambridge Part III Mathematics International Scholarships in UK,05 Jan 2023,"Art & Design,Business & Management,Computer Science & IT",University of Cambridge,Master ,UK
"Queen Elizabeth Commonwealth Scholarships for International Students, UK",10 Jan 2023,"Art & Design,Business & Management,Computer Science & IT,Medical & Pharmacy",Association of Commonwealth Universities,Masters,UK
Law International UG Merit Scholarships at University of Leicester in UK,15 Jan 2023,"Education,Religion & Ethics,Social Sciences,Tourism & Hospitality",University of Leicester,Undergraduate,UK
"400 Fully-Funded MasterCard Foundation AfOx Scholarships for African Students at University of Oxford, UK",01 Jan 2023,"Business & Management,Computer Science & IT,Medical & Pharmacy,Religion & Ethics",University of Oxford,One-year taught Master’s course,UK
Imperial College Business School International LGBTQ+ Scholarships,13 Feb 2023,"Art & Design,Engineering&Technology,Computer Science & IT",Imperial College Business School,MBA,UK
"Ukraine Conflict Distance Learning Sanctuary Scholarship at University of Leicester, UK",02 Jan 2023,"Medical & Pharmacy,Religion & Ethics,Social Sciences",University of Leicester,Masters- Distance learning courses,UK
Open-Oxford-Cambridge AHRC Doctoral Training Partnership Open University/AHRC PhD Studentships,11 Jan 2023,"Engineering&Technology,Business & Management,Education",The Open University,PHD,UK
"Birkett international awards in Physical Chemistry, UK",20 Jan 2023,"Art & Design,Business & Management,Medical & Pharmacy,Education",University of Oxford,PHD,UK
Economic and Social Research Council SeNSS international awards in UK,20 Jan 2023,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT",University of Kent,PHD,UK
Chancellors' International Scholarships,05 Jan 2023,"Business & Management,Medical & Pharmacy,Education,Religion & Ethics",Warwick,"Bachelor, Honors, and Postgraduate",UK
Adara Foundation Scholarship for International Students in UK,22 Mar 2023,"Engineering&Technology,Business & Management,Computer Science & IT",University of Oxford,Masters,
University of Cambridge Part III Mathematics international awards in UK,05 Jan 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Cambridge,NA,UK
"Queen Elizabeth Commonwealth Scholarships for International Students, UK",10 Jan 2023,"Art & Design,Business & Management,Computer Science & IT,Medical & Pharmacy",Association of Commonwealth Universities, Masters,UK
School of Performance and Cultural Industries Excellence international awards in UK,09 Mar 2023,"Education,Religion & Ethics,Social Sciences,Tourism & Hospitality",University of Leeds ,Undergraduate or Graduate,UK
Imperial College Business School International LGBTQ+ Scholarships,09 Jan 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",Imperial College Business School,Business School,UK
Southampton Electronics and Computer Science Commonwealth Scholarships,21 Feb 2023,"Business & Management,Computer Science & IT,Medical & Pharmacy,Religion & Ethics",University of Southampton,Undergraduate and postgraduate master‡s degrees,UK
"CRiL PhD international awards at University of Bedfordshire, UK",25 Nov 2022,"Engineering&Technology,Computer Science & IT,Education",University of Bedfordshire,Online,UK
A Multi-Omics Approach to Understanding Cardiovascular Risk in Patients with End-Stage Kidney Disease,01 Dec 2022,"Education,Religion & Ethics,Social Sciences,Tourism & Hospitality",University of Liverpool,PHD,UK
University of Surrey International Excellence Awards in UK,30 Apr 2023,"Art & Design,Education,Religion & Ethics,Social Sciences,Short Courses",University of Surrey,Undergraduate,UK
"Be Exceptional 60th Anniversary international awards at York University, UK",09 Jan 2023,"Art & Design,Education,Religion & Ethics,Tourism & Hospitality,Accounting & Finance",University of York,Undergraduate,UK
Southampton Arts and Humanities Deans Global Talent Scholarship in the UK,26 Feb 2023,"Engineering&Technology,Business & Management,Education",University of Southampton,Undergraduate and Postgraduate,UK
Motorsport Engineering Scholarships for International Students in UK,15 Feb 2023,"Art & Design,Engineering&Technology,Business & Management,Medical & Pharmacy",Cranfield University,Masters,UK
"PhD international awards in Cleaner Futures New Porous Materials at University of Liverpool, UK",22 Nov 2022,"Engineering&Technology,Business & Management,Computer Science & IT",University of Liverpool,PHD,UK
"CRiL PhD international awards at University of Bedfordshire, UK",25 Nov 2022,"Business & Management,Computer Science & IT,Medical & Pharmacy,Education",University of Bedfordshire,"Ph.D. Award: £ 4,700",UK
"Be Exceptional 60th Anniversary international awards at York University, UK",09 Jan 2023,"Computer Science & IT,Medical & Pharmacy,Education",University of York,Undergraduate,UK
"The University of Dundee Vice Chancellor’s Indonesia Scholarship, UK",31 Aug 2023,"Art & Design,Education,Religion & Ethics,Social Sciences",University of Dundee,Undergraduate or Postgraduate,UK
"CRiL PhD international awards at University of Bedfordshire, UK",25 Nov 2022,"Art & Design,Engineering&Technology,Business & Management,Education",University of Bedfordshire,PHD,UK
"Sanctuary International Visitors Support Scheme at the University of Sheffield, UK",13 Nov 2022,"Engineering&Technology,Business & Management,Computer Science & IT",University of Sheffield,PHD,UK
"CRiL PhD international awards at University of Bedfordshire, UK",25 Nov 2022,"Engineering&Technology,Business & Management,Medical & Pharmacy",University of Bedfordshire,"Ph.D. Award: £ 4,700",UK
University of Surrey International Excellence Awards in UK,30 Apr 2023,"Education,Religion & Ethics,Social Sciences,Tourism & Hospitality",University of Surrey,Undergraduate,UK
Erasmus Mundus Glocal Scholarships for International Students in the UK,06 Jan 2023,"Engineering&Technology,Medical & Pharmacy,Social Sciences",The GLOCAL Erasmus Mundus program,Master’s Degree,UK
"The University of Dundee Vice Chancellor’s Indonesia Scholarship, UK",31 Aug 2023,"Medical & Pharmacy,Education,Social Sciences,Tourism & Hospitality",University of Dundee,Undergraduate or Postgraduate,UK
Erasmus Mundus Glocal Scholarships for International Students in the UK,06 Jan 2023,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",The GLOCAL Erasmus Mundus program,Master’s Degree,UK
CRiL PhD Awards At University of Bedfordshire UK,25 Nov 2022,"Art & Design,Engineering&Technology,Social Sciences,Law,Humanities",University of Bedfordshire,PhD,"£ 4,700"
MSc International Masters Excellence Scholarship,10 Mar 2023,"Business & Management,Computer Science & IT,Medical & Pharmacy",University of Leeds,The studentships are available for pursuing bachelor’s and master‡s degree programs.,
University of Surrey International Excellence Awards in UK,30 Apr 2023,"Social Sciences,Tourism & Hospitality,Others",University of Surrey,Undergraduate,UK
Southampton Electronics and Computer Science Commonwealth Scholarships,21 Feb 2023,"Medical & Pharmacy,Social Sciences,Tourism & Hospitality",University of Southampton,Undergraduate and postgraduate master‡s degrees,UK
British Council Full Degree Scholarships,30 Oct 2022,"Education,Religion & Ethics,Social Sciences,Tourism & Hospitality",British Council,"Undergraduate, Postgraduate, or PhD",UK
The University of Dundee Global Excellence Scholarship in the UK,30 Nov 2022,"Medical & Pharmacy,Education,Tourism & Hospitality",The University of Dundee,Full-time Undergraduate and Postgraduate,UK
"Be Exceptional 60th Anniversary international awards at York University, UK",12 Jun 2023,"Engineering&Technology,Business & Management,Medical & Pharmacy",University of York,Undergraduate,UK
"FIA Motorsport Engineering international awards at Cranfield University, UK",15 Feb 2023,"Art & Design,Engineering&Technology,Business & Management,Medical & Pharmacy",Cranfield University,Master,UK
"Chevening international awards to Study at the University of Exeter, UK",01 Nov 2022,"Art & Design,Computer Science & IT,Medical & Pharmacy","UK Foreign, Commonwealth and Development Office (FCDO)",Master,UK
"The University of Dundee Vice Chancellor’s Indonesia Scholarship, UK",31 Aug 2023,"Education,Religion & Ethics,Social Sciences,Tourism & Hospitality",University of Dundee,Undergraduate or Postgraduate,UK
Sanctuary International PhD Visitors Support Scheme At The University Of Sheffield UK,13 Nov 2022,"Engineering&Technology,Education,Social Sciences,Tourism & Hospitality,Humanities",University of Sheffield,PhD,the Uk.
Mona Blackman Scholarships for International Students in UK,31 Oct 2022,"Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics",The University of West London,Undergraduate and Postgraduate,UK
Southampton Presidential International Scholarship,21 Feb 2023,"Computer Science & IT,Education,Religion & Ethics,Tourism & Hospitality",University of Southampton,Undergraduate and Postgraduate Master‡s Degree,USA
Harding International Legal Scholarships in UK,01 Nov 2022,"Engineering&Technology,Business & Management,Medical & Pharmacy",University of Birmingham,Master,UK
BTC Excellence international awards,01 Nov 2022,"Religion & Ethics,Social Sciences,Tourism & Hospitality",BPP University,Undergraduate,UK
"PhD international awards in Cleaner Futures New Porous Materials at University of Liverpool, UK",22 Nov 2022,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Liverpool,PHD,UK
Commonwealth Phd Scholarships,18 Oct 2022,"Art & Design,Business & Management,Computer Science & IT,Medical & Pharmacy",Commonwealth Scholarship Commission,PhD,UK
"School of Computing and Digital Technology Fully-funded PhD International Studentships, UK",31 Oct 2022,"Engineering&Technology,Business & Management,Computer Science & IT",Birmingham City University,PhD degree,UK
Brunel University London International Excellence Scholarships in UK,20 Oct 2022,"Art & Design,Education,Social Sciences,Tourism & Hospitality",Brunel University London,Undergraduate and Postgraduate,UK
Leeds School of Physics and Astronomy Head of School Excellence PhD Scholarship 2023,10 Mar 2023,"Art & Design,Engineering&Technology,Computer Science & IT,Medical & Pharmacy,Others,Applied & Pure Sciences",University of Leeds,PhD,"Partial Funding, 10% tuition fee deduction"
Harding International Legal Scholarships in UK,20 Oct 2022,"Engineering&Technology,Medical & Pharmacy,Education",University of Birmingham,Master,UK
Mona Blackman Scholarships for International Students in UK,31 Oct 2022,"Computer Science & IT,Medical & Pharmacy,Education,Social Sciences",The University of West London,Undergraduate and Postgraduate,UK
BTC Excellence International Scholarships,31 Oct 2022,"Religion & Ethics,Social Sciences,Tourism & Hospitality",BPP University,Undergraduate,UK
Anne Naysmith Scholarships for International Students in UK,31 Oct 2022,"Engineering&Technology,Computer Science & IT,Education",The University of West London,Undergraduate and Postgraduate,UK
Jason Roberts Foundation international awards in UK,31 Oct 2022,"Business & Management,Computer Science & IT,Education",University Campus of Football Business,Master,UK
Mona Blackman Scholarships for International Students in UK,31 Oct 2022,"Art & Design,Business & Management,Computer Science & IT,Medical & Pharmacy",The University of West London,Undergraduate and Postgraduate,UK
"PhD Scholarships at Imperial College London, UK, 2023-2024",04 Nov 2022,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Social Sciences,Applied & Pure Sciences",Imperial College London,PhD,"£22,900"
Jason Roberts Foundation international awards in UK,31 Oct 2022,"Art & Design,Business & Management,Computer Science & IT,Education",University Campus of Football Business,Master,UK
Mona Blackman Scholarships for International Students in UK,31 Oct 2022,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",The University of West London,Undergraduate and Postgraduate,UK
Discover Business International Scholarships at University of Dundee in UK,30 Nov 2022,"Business & Management,Computer Science & IT,Medical & Pharmacy",University of Dundee,Undergraduate or postgraduate taught course,UK
BTC Excellence International Scholarships,31 Oct 2022,"Education,Religion & Ethics,Tourism & Hospitality",BPP University,Undergraduate,UK
Distance Learning merit awards for International Students in UK ,31 Oct 2022,"Business & Management,Computer Science & IT,Medical & Pharmacy",University of Leicester,Postgraduate,
Jason Roberts Foundation international awards in UK,20 Oct 2022,"Computer Science & IT,Medical & Pharmacy,Education",University Campus of Football Business,Master,UK
Fully Funded PhD Scholarship in 2D Materials,14 Oct 2022,"Engineering&Technology,Business & Management,Medical & Pharmacy",London South Bank University,PHD,"£18,000"
University of Worcester Early Bird Discount for International Students in UK,30 Sep 2022,"Computer Science & IT,Education,Religion & Ethics,Social Sciences",University of Worcester,Undergraduate degree,UK
"Faculty of Humanities & Social Sciences Postgraduate Scholarships for International Students, UK",30 Nov 2022,"Education,Religion & Ethics,Social Sciences,Short Courses",University of Strathclyde,Postgraduate,UK
Mona Blackman Scholarships for International Students in UK,31 Oct 2022,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",The University of West London,Undergraduate and Postgraduate,UK
School of Mechanical Engineering International Masters Excellence Scholarships in UK,10 Mar 2023,"Business & Management,Computer Science & IT,Medical & Pharmacy,Education",University of Leeds,Masters degree,UK
Mona Blackman Scholarships for International Students in UK,31 Oct 2022,"Medical & Pharmacy,Education,Social Sciences,Tourism & Hospitality",The University of West London,Undergraduate and Postgraduate,UK
BTC Excellence International Scholarships,20 Oct 2022,"Religion & Ethics,Social Sciences,Tourism & Hospitality,Short Courses",BPP University,Undergraduate,UK
Discover Business International Scholarships at University of Dundee in UK,30 Nov 2022,"Education,Religion & Ethics,Social Sciences,Tourism & Hospitality",University of Dundee,Undergraduate or postgraduate taught course,UK
"International PhD Studentships in Sustainable Biomass Catalysis, UK",22 Nov 2022,"Art & Design,Engineering&Technology,Medical & Pharmacy,Social Sciences,Applied & Pure Sciences",University of Liverpool,PhD,"Tuition fees and £15,609"
Anne Naysmith Scholarships for International Students in UK,31 Oct 2022,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT",The University of West London,Undergraduate and Postgraduate,UK
"Fully Funded EPSRC PhD International Scholarships in Analysis and Numerics of Stochastic Partial Differential Equations, UK",28 Oct 2022,"Engineering&Technology,Business & Management,Medical & Pharmacy",Swansea University,PHD ,UK
"International Undergraduate and Postgraduate Scholarships, Anne Naysmith, UK",01 Oct 2022,"Art & Design,Engineering&Technology,Social Sciences,Media Studies ",The University of West London,Undergraduate and Postgraduate,UK
"International Students Scholarships at Canterbury Christ Church University, UK",22 Sep 2022,"Business & Management,Computer Science & IT,Education,Religion & Ethics",Canterbury Christ Church University,Undergraduate or Postgraduate,UK
School of Physics and Astronomy International Masters Excellence Scholarships in UK,23 Sep 2022,"Art & Design,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Leeds,Master ,UK
University of Glasgow Joseph Lister India Scholarships in UK,29 Sep 2022,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Glasgow,Masters,UK
"PhD Scholarships in Markerless Human Gait Analysis Sing Ultra-Wideband Radar Approaches Augmented by Artificial Intelligence, UK",22 Sep 2022,"Engineering&Technology,Business & Management,Education",London South Bank University,PHD,UK
"Management PhD Tuition Fee International Scholarship at University of Leicester, UK",14 Sep 2022,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Leicester,PHD,UK
"Laing Developing Countries Graduate Scholarships at Newnham College, UK",23 Sep 2022,"Engineering&Technology,Computer Science & IT,Medical & Pharmacy",Newnham College,Masters and PhD,UK
Anne Naysmith Scholarships for International Students in UK,31 Oct 2022,"Business & Management,Computer Science & IT,Religion & Ethics",The University of West London,Undergraduate and Postgraduate,UK
"Jungels – Winkler Scholarships for EU Students at Courtauld Institute of Art, UK",30 Sep 2022,"Art & Design,Business & Management,Computer Science & IT,Medical & Pharmacy",Courtauld Institute of Art,Master,UK
"Laing Developing Countries Graduate Scholarships at Newnham College, UK",16 Sep 2022,"Engineering&Technology,Computer Science & IT,Medical & Pharmacy",Newnham College,Masters and PhD,UK
"International PhD Studentships in Cleaner Futures MOF Catalysts for CO2 Utilisation, UK",22 Nov 2022,"Engineering&Technology,Computer Science & IT,Medical & Pharmacy",University of Liverpool,PHD,UK
Early-Bird International Scholarships at University for the Creative Arts in UK,01 Oct 2022,"Engineering&Technology,Business & Management,Computer Science & IT,Education",The University for the Creative Arts,"Undergraduate, graduate or PhD degree",UK
PG School of Psychology International Masters Scholarships in UK,30 Sep 2022,"Art & Design,Engineering&Technology,Medical & Pharmacy",University of Leeds,Masters,UK
"International Scholarships at New College of the Humanities, UK",30 Sep 2022,"Business & Management,Computer Science & IT,Education,Religion & Ethics",New College of the Humanities,Undergraduate or Postgraduate,UK
"First International Conference in Education Scholarships, UK",30 Sep 2022,"Business & Management,Computer Science & IT,Medical & Pharmacy,Religion & Ethics",Queen Mary University of London,PHD,UK
"RGU International PhD Studentships in Real-time Modelling of Future Distribution Networks, UK",30 Sep 2022,"Engineering&Technology,Business & Management,Medical & Pharmacy",Robert Gordon University,PHD,UK
"PhD Students Positions in Cementitious Construction Materials at Empa, Switzerland",30 Sep 2022,"Engineering&Technology,Business & Management,Computer Science & IT",Empa,PHD,Switzerland
"PhD International Scholarships in Cleaner Futures New Porous Materials at University of Liverpool, UK",22 Nov 2022,"Business & Management,Computer Science & IT,Religion & Ethics",University of Liverpool,PHD ,UK
"Regional Scholarships for International Students at POLIMI Graduate School of Management, Italy",30 Sep 2022,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",POLIMI Graduate School of Management,Master,Italy.
Global MBA 5 Year Anniversary Bursary in UK,12 Sep 2022,"Art & Design,Business & Management,Computer Science & IT,Medical & Pharmacy",University of London,Master ,UK
Harding International Legal Scholarships in UK,15 Sep 2022,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",University of Birmingham,Master,UK
"International Students Scholarships at Canterbury Christ Church University, UK",10 Sep 2022,"Business & Management,Medical & Pharmacy,Social Sciences",Canterbury Christ Church University,Undergraduate or Postgraduate,UK
"Fully Funded EPSRC PhD International Scholarships in Analysis and Numerics of Stochastic Partial Differential Equations, UK",28 Oct 2022,"Engineering&Technology,Business & Management,Computer Science & IT,Religion & Ethics",Swansea University,PHD,UK
"School of Social Sciences PhD International Studentships at Heriot-Watt University, UK",08 Sep 2022,"Engineering&Technology,Business & Management,Computer Science & IT",Heriot-Watt University,PHD,UK
Elys Roberts International Scholarships in UK,31 Aug 2022,"Computer Science & IT,Education,Religion & Ethics,Social Sciences",University of Manchester,Masters degree,UK
Anne Naysmith Scholarships for International Students in UK,31 Oct 2022,"Religion & Ethics,Social Sciences,Humanities",The University of West London,Undergraduate and Postgraduate,UK
"PhD International Studentships in Discovery of Solid State Electrolytes, UK",23 Dec 2022,"Computer Science & IT,Education,Religion & Ethics,Social Sciences",University of Liverpool,PHD,UK
University of Worcester Early Bird Discount for International Students in UK,30 Sep 2022,"Education,Religion & Ethics,Social Sciences",University of Worcester,Undergraduate degree,UK
"PhD International Studentships in Evaluating Plant Level Eco-evolutionary Optimality Approaches, UK",31 Aug 2022,"Engineering&Technology,Business & Management,Medical & Pharmacy",University of Reading,PHD,UK
